Signal Name,Pin Number,Type,Enum
EC_I2C_USB_C1_TCPC_SCL,F5,I2C_CLOCK,I2C_PORT_USB_C1_TCPC
SEQ_EC_ALL_SYS_PG,E9,INPUT,
USB_C1_PPC_INT_ODL,E8,INPUT,GPIO_USB_C1_PPC_INT_ODL
EC_KSO_07_JEN_L,B9,OTHER,
EC_KSO_06_GP_SEL_L,C8,OTHER,
EC_SPARE_GPO32,E4,OUTPUT,
EC_SPARE_GPO35,K2,OUTPUT,
UART_GSC_DBG_RX_EC_TX_R,H4,OTHER,
EC_RST_R_ODL,K6,INPUT,
EC_KB_BL_EN_L,J9,OUTPUT,
ACOK_OD,E7,INPUT,GPIO_AC_PRESENT
GSC_EC_PWR_BTN_ODL,E6,INPUT_PU,GPIO_POWER_BUTTON_L
MECH_PWR_BTN_ODL,F7,INPUT,
LID_OPEN,G7,INPUT_PU,GPIO_LID_OPEN
EN_Z1_RAILS,J8,OUTPUT,
EN_PP5000_USBA_R,H6,OUTPUT,
