Signal Name,Pin Number,Type,Enum
EC_I2C_MISC_SCL,J10,I2C_CLOCK,I2C_PORT_EEPROM
EC_I2C_SENSOR_SDA,B12,I2C_DATA,
EC_I2C_SENSOR_SCL,C12,I2C_CLOCK,I2C_PORT_SENSOR
EN_S5_RAILS,L9,OUTPUT_ODR,
FAN_PWM,J7,PWM,
LED_3_L,H10,PWM_INVERT,
LED_2_L,G9,PWM_INVERT,
LED_1_L,G8,PWM_INVERT,
USB_C0_BC12_INT_ODL,D10,INPUT,
EC_I2C_USB_C0_RT_SDA,F9,I2C_DATA,
EC_I2C_USB_C0_RT_SCL,F8,I2C_CLOCK,
EC_EDP_BL_EN,E10,OUTPUT_ODR,GPIO_ENABLE_BACKLIGHT
EC_ALS_RGB_INT_R_L,A9,INPUT_PU,
SYS_SLP_S0IX_3V3_L,A10,INPUT,
USB_C0_TCPC_INT_ODL,F4,INPUT,
SEQ_EC_RSMRST_ODL,A11,OUTPUT_ODL,
EC_I2C_USB_C1_MIX_SDA,L7,I2C_DATA,
EC_I2C_USB_C1_MIX_SCL,L6,I2C_CLOCK,
CCD_MODE_ODL,A12,OUTPUT_ODL,GPIO_CCD_MODE_ODL
EC_I2C_USB_C1_TCPC_SDA,F6,I2C_DATA,
EC_I2C_USB_C1_TCPC_SCL,F5,I2C_CLOCK,
SEQ_EC_ALL_SYS_PG,E9,INPUT,
USB_C1_PPC_INT_ODL,E8,INPUT,
EC_KSO_07_JEN_L,B9,OTHER,
EC_KSO_06_GP_SEL_L,C8,OTHER,
UART_GSC_DBG_RX_EC_TX_R,H4,OTHER,
EC_RST_R_ODL,K6,INPUT,
ACOK_OD,E7,INPUT,
GSC_EC_PWR_BTN_ODL,E6,INPUT_PU,GPIO_POWER_BUTTON_L
MECH_PWR_BTN_ODL,F7,INPUT,
LID_OPEN,G7,INPUT_PU,GPIO_LID_OPEN
EN_Z1_RAILS,J8,OUTPUT,
EN_PP5000_USBA_R,H6,OUTPUT,
